"","Location","Category","ID","Gap","Area"
"1","Code Farm","EAB Gap",1,"Code Farm EAB Gap 1",90.3751426523789
"2","Code Farm","EAB Gap",2,"Code Farm EAB Gap 2",139.617849439053
"3","Code Farm","EAB Gap",3,"Code Farm EAB Gap 3",114.104984691554
"4","Code Farm","EAB Gap",4,"Code Farm EAB Gap 4",166.437644361545
"5","Code Farm","Other Gap",1,"Code Farm Other Gap 1",59.7948847950453
"6","Code Farm","Other Gap",2,"Code Farm Other Gap 2",122.43645899816
"7","Code Farm","Other Gap",3,"Code Farm Other Gap 3",70.0522136145057
"8","Code Farm","Other Gap",4,"Code Farm Other Gap 4",328.414618663377
"9","Field Research Station","EAB Gap",1,"Field Research Station EAB Gap 1",185.885474507142
"10","Field Research Station","EAB Gap",2,"Field Research Station EAB Gap 2",337.718150334998
"11","Field Research Station","EAB Gap",3,"Field Research Station EAB Gap 3",70.1247709386038
"12","Field Research Station","EAB Gap",4,"Field Research Station EAB Gap 4",250.517547534364
"13","Field Research Station","Other Gap",1,"Field Research Station Other Gap 1",17.0331805115794
"14","Field Research Station","Other Gap",2,"Field Research Station Other Gap 2",85.3830721487347
"15","Field Research Station","Other Gap",3,"Field Research Station Other Gap 3",106.333331385124
"16","Field Research Station","Other Gap",4,"Field Research Station Other Gap 4",290.737735232572
"17","Five Points Forest","EAB Gap",1,"Five Points Forest EAB Gap 1",196.89372777875
"18","Five Points Forest","EAB Gap",2,"Five Points Forest EAB Gap 2",188.755985464821
"19","Five Points Forest","EAB Gap",3,"Five Points Forest EAB Gap 3",104.718924467568
"20","Five Points Forest","EAB Gap",4,"Five Points Forest EAB Gap 4",79.6975697889483
"21","Five Points Forest","Other Gap",1,"Five Points Forest Other Gap 1",222.42413759035
"22","Five Points Forest","Other Gap",2,"Five Points Forest Other Gap 2",98.5254847456404
"23","Five Points Forest","Other Gap",3,"Five Points Forest Other Gap 3",34.8476281243254
"24","Five Points Forest","Other Gap",4,"Five Points Forest Other Gap 4",66.5171236625286
"25","Meadowlily Woods","EAB Gap",1,"Meadowlily Woods EAB Gap 1",337.44285721304
"26","Meadowlily Woods","EAB Gap",2,"Meadowlily Woods EAB Gap 2",27.0619368815289
"27","Meadowlily Woods","EAB Gap",3,"Meadowlily Woods EAB Gap 3",164.4155491814
"28","Meadowlily Woods","EAB Gap",4,"Meadowlily Woods EAB Gap 4",135.329504651934
"29","Meadowlily Woods","Other Gap",1,"Meadowlily Woods Other Gap 1",153.020340474242
"30","Meadowlily Woods","Other Gap",2,"Meadowlily Woods Other Gap 2",41.409658491181
"31","Meadowlily Woods","Other Gap",3,"Meadowlily Woods Other Gap 3",13.4749468186662
"32","Meadowlily Woods","Other Gap",4,"Meadowlily Woods Other Gap 4",311.124906497265
"33","Medway Valley","EAB Gap",1,"Medway Valley EAB Gap 1",164.76580597812
"34","Medway Valley","EAB Gap",2,"Medway Valley EAB Gap 2",106.759581370934
"35","Medway Valley","EAB Gap",3,"Medway Valley EAB Gap 3",223.436015873353
"36","Medway Valley","EAB Gap",4,"Medway Valley EAB Gap 4",144.096233417734
"37","Medway Valley","Other Gap",1,"Medway Valley Other Gap 1",54.0825047673159
"38","Medway Valley","Other Gap",2,"Medway Valley Other Gap 2",106.703386841274
"39","Medway Valley","Other Gap",3,"Medway Valley Other Gap 3",61.803548153665
"40","Medway Valley","Other Gap",4,"Medway Valley Other Gap 4",237.285564796342
"41","Westminster Ponds","EAB Gap",1,"Westminster Ponds EAB Gap 1",43.5607762547426
"42","Westminster Ponds","EAB Gap",2,"Westminster Ponds EAB Gap 2",62.6676752388036
"43","Westminster Ponds","EAB Gap",3,"Westminster Ponds EAB Gap 3",12.3119017456274
"44","Westminster Ponds","EAB Gap",4,"Westminster Ponds EAB Gap 4",377.809057356276
"45","Westminster Ponds","Other Gap",1,"Westminster Ponds Other Gap 1",15.3956009540691
"46","Westminster Ponds","Other Gap",2,"Westminster Ponds Other Gap 2",82.5253035993423
"47","Westminster Ponds","Other Gap",3,"Westminster Ponds Other Gap 3",100.681436701699
"48","Westminster Ponds","Other Gap",4,"Westminster Ponds Other Gap 4",274.575190155487
