"","Location","Category","ID","richness","H","percentNN","percentB","Buckthorn"
"1","Field Research Station","EAB Gap",1,3,0.916464885539471,54.5454545454545,54.5454545454545,15
"2","Field Research Station","EAB Gap",2,5,1.07973461791307,70.5882352941177,66.6666666666667,30
"3","Field Research Station","EAB Gap",3,6,1.63263092715435,66.6666666666667,33.3333333333333,10
"4","Field Research Station","EAB Gap",4,7,1.36817209259955,64.8648648648649,59.4594594594595,55
"5","Field Research Station","EAB Gap",5,5,1.3099905328263,54.5454545454545,54.5454545454545,30
"6","Field Research Station","EAB Gap",6,5,1.15565056467484,62.1621621621622,62.1621621621622,57.5
"7","Field Research Station","Non-Gap",1,2,0.271189373041844,7.69230769230769,7.69230769230769,2.5
"8","Field Research Station","Non-Gap",2,4,1.16222554492109,45.4545454545455,45.4545454545455,12.5
"9","Field Research Station","Non-Gap",3,3,0.753442461180238,87.5,73.6842105263158,35
"10","Field Research Station","Non-Gap",4,6,1.67159527802125,7.69230769230769,7.69230769230769,2.5
"11","Field Research Station","Non-Gap",5,2,0.450561208866305,0,0,0
"12","Field Research Station","Non-Gap",6,5,1.35714014384819,0,0,0
"13","Field Research Station","Other Gap",1,2,0.500402423538188,0,0,0
"14","Field Research Station","Other Gap",2,2,0.562335144618808,0,0,0
"15","Field Research Station","Other Gap",3,5,1.53519084913132,17.6470588235294,15.7894736842105,7.5
"16","Field Research Station","Other Gap",4,3,1.06085694715802,0,0,0
"17","Field Research Station","Other Gap",5,4,1.2831726480161,0,0,0
"18","Field Research Station","Other Gap",6,7,1.7045514452673,12.5,0,0
"19","Meadowlily Woods","EAB Gap",1,2,0.617241769730342,0,0,0
"20","Meadowlily Woods","EAB Gap",2,3,0.811141328019013,0,0,0
"21","Meadowlily Woods","EAB Gap",3,2,0.673011667009257,0,0,0
"22","Meadowlily Woods","EAB Gap",4,3,0.796311640173813,0,0,0
"23","Meadowlily Woods","EAB Gap",5,4,1.32088834314932,0,0,0
"24","Meadowlily Woods","EAB Gap",6,3,1.07899220787758,0,0,0
"25","Meadowlily Woods","Non-Gap",1,4,1.2406842919534,33.3333333333333,0,0
"26","Meadowlily Woods","Non-Gap",2,5,1.55711309805765,0,0,0
"27","Meadowlily Woods","Non-Gap",3,2,0.348832095843032,0,0,0
"28","Meadowlily Woods","Non-Gap",4,2,0.450561208866305,16.6666666666667,0,0
"29","Meadowlily Woods","Non-Gap",5,4,1.08889997534522,0,0,0
"30","Meadowlily Woods","Non-Gap",6,2,0.636514168294813,0,0,0
"31","Meadowlily Woods","Other Gap",1,4,1.00977804767207,21.0526315789474,0,0
"32","Meadowlily Woods","Other Gap",2,4,1.19797960061582,14.2857142857143,0,0
"33","Meadowlily Woods","Other Gap",3,1,0,0,0,0
"34","Meadowlily Woods","Other Gap",4,6,1.46806020349905,0,0,0
"35","Meadowlily Woods","Other Gap",5,3,0.994923632571775,0,0,0
"36","Meadowlily Woods","Other Gap",6,4,1.242453324894,16.6666666666667,16.6666666666667,5
"37","Westminster Ponds","EAB Gap",1,2,0.636514168294813,66.6666666666667,66.6666666666667,15
"38","Westminster Ponds","EAB Gap",2,2,0.693147180559945,50,50,5
"39","Westminster Ponds","EAB Gap",3,2,0.673011667009257,0,0,0
"40","Westminster Ponds","EAB Gap",4,3,0.964962923007428,44.4444444444444,44.4444444444444,10
"41","Westminster Ponds","EAB Gap",5,4,0.730166889488485,94.7368421052632,78.2608695652174,45
"42","Westminster Ponds","EAB Gap",6,1,0,100,100,7.5
"43","Westminster Ponds","Non-Gap",1,1,0,100,100,5
"44","Westminster Ponds","Non-Gap",2,2,0.636514168294813,0,0,0
"45","Westminster Ponds","Non-Gap",3,2,0.693147180559945,50,50,5
"46","Westminster Ponds","Non-Gap",4,4,1.32966134885476,0,0,0
"47","Westminster Ponds","Non-Gap",5,1,0,100,100,7.5
"48","Westminster Ponds","Non-Gap",6,3,0.729871209983116,73.3333333333333,73.3333333333333,27.5
"49","Westminster Ponds","Other Gap",1,3,0.89794572485678,30,30,7.5
"50","Westminster Ponds","Other Gap",2,2,0.636514168294813,33.3333333333333,33.3333333333333,2.5
"51","Westminster Ponds","Other Gap",3,2,0.500402423538188,20,20,10
"52","Westminster Ponds","Other Gap",4,3,1.05492016798614,40,40,5
"53","Westminster Ponds","Other Gap",5,4,0.701874626066484,92.5,80.4347826086957,92.5
"54","Westminster Ponds","Other Gap",6,2,0.416310140667776,85.3658536585366,85.3658536585366,87.5
"55","Code Farm","EAB Gap",1,3,1.08219553003877,37.5,0,0
"56","Code Farm","EAB Gap",2,4,1.23722739515192,0,0,0
"57","Code Farm","EAB Gap",3,3,0.848685557726417,0,0,0
"58","Code Farm","EAB Gap",4,4,1.19427268434832,0,0,0
"59","Code Farm","Non-Gap",1,3,1.06085694715802,44.4444444444444,44.4444444444444,10
"60","Code Farm","Non-Gap",2,2,0.529706199057654,0,0,0
"61","Code Farm","Non-Gap",3,4,1.24501688925244,0,0,0
"62","Code Farm","Non-Gap",4,4,1.36892236074022,0,0,0
"63","Code Farm","Other Gap",1,6,1.67698777432242,33.3333333333333,33.3333333333333,15
"64","Code Farm","Other Gap",2,4,1.3421131789144,0,0,0
"65","Code Farm","Other Gap",3,6,1.67159527802125,36.3636363636364,30.7692307692308,20
"66","Code Farm","Other Gap",4,5,1.6094379124341,25,0,0
"67","Five Points Forest","EAB Gap",1,5,1.49417513828931,37.5,0,0
"68","Five Points Forest","EAB Gap",2,6,1.67698777432242,33.3333333333333,0,0
"69","Five Points Forest","EAB Gap",3,5,1.56413150262199,26.6666666666667,0,0
"70","Five Points Forest","EAB Gap",4,5,1.3896811919839,72.7272727272727,36.3636363636364,20
"71","Five Points Forest","Non-Gap",1,7,1.94591014905531,14.2857142857143,0,0
"72","Five Points Forest","Non-Gap",2,4,1.30952583530407,40,0,0
"73","Five Points Forest","Non-Gap",3,4,1.35168119468589,30.7692307692308,0,0
"74","Five Points Forest","Non-Gap",4,7,1.88915916375402,22.2222222222222,0,0
"75","Five Points Forest","Other Gap",1,5,1.5498260458782,42.8571428571429,14.2857142857143,5
"76","Five Points Forest","Other Gap",2,5,1.49417513828931,12.5,0,0
"77","Five Points Forest","Other Gap",3,6,1.74806734854609,30,10,5
"78","Five Points Forest","Other Gap",4,6,1.60356810317052,26.3157894736842,15.7894736842105,7.5
"79","Medway Valley","EAB Gap",1,5,1.45524210681669,47.0588235294118,32,20
"80","Medway Valley","EAB Gap",2,2,0.636514168294813,0,0,0
"81","Medway Valley","EAB Gap",3,7,1.90853528164356,0,0,0
"82","Medway Valley","EAB Gap",4,6,1.72019345921983,27.2727272727273,27.2727272727273,15
"83","Medway Valley","Non-Gap",1,10,1.42904307917223,0,0,0
"84","Medway Valley","Non-Gap",2,3,0.918427784993098,0,0,0
"85","Medway Valley","Non-Gap",3,5,1.41409845792886,24,0,0
"86","Medway Valley","Non-Gap",4,5,1.41274463686385,7.69230769230769,7.69230769230769,5
"87","Medway Valley","Other Gap",1,8,1.25364799945903,0.344827586206897,0,0
"88","Medway Valley","Other Gap",2,4,1.07513932400537,58.3333333333333,58.3333333333333,35
"89","Medway Valley","Other Gap",3,4,1.32624832356827,33.3333333333333,33.3333333333333,17.5
"90","Medway Valley","Other Gap",4,6,1.62592870804154,47.0588235294118,23.5294117647059,10
